name,position,tags,citation,email,hindex,iindex,maxyear,minyear
Gerrit Kahl,Researcher|   German Research Center for Artificial Intelligence |  Saarland Informatics Campus,Dual Reality| Instrumented Environments| Communication Infrastructure,218, dfki.de,8,8,2020,2008
Trung-Kien Tran,Bosch Center for Artificial Intelligence (BCAI) Homepage None,Knowledge Representation and Reasoning| Ontology| Semantic Web,218, de.bosch.com - ,6,6,2020,2011
Yuan Wang,College of Artificial Intelligence|  Tianjin University of Science and Technology. Artificial intelligence None,Artificial intelligence| Data mining| recommended system| natural language processing,219, tust.edu.cn,8,7,2019,2008
Michael Herman,Bosch Center for Artificial Intelligence|   University of Freiburg None,Deep Learning| Reinforcement Learning| Inverse Reinforcement Learning| Machine Learning,219, informatik.uni-freiburg.de,7,6,2020,2015
Geng Chen,Inception Institute of Artificial Intelligence Medical Image Analysis None,Medical Image Analysis| Deep Learning| Diffusion MRI| Neuroscience,219, inceptioniai.org,8,5,2020,2015
Ming Xu,College of Artificial Intelligence|  Tianjin University of Science and Technology spatio-temporal data mining None,spatio-temporal data mining| urban computing| AI in transportation,220, bupt.edu.cn,9,9,2020,2012
Luca Weihs,Research Scientist|  Allen Institute for Artificial Intelligence reinforcement learning None,reinforcement learning| computer vision| algebraic statistics,220, allenai.org,7,7,2020,2016
Sabine Janzen, (DFKI) German Research Center for Artificial Intelligence None,Responsible AI| Autonomous Systems| HCI| Dialogue Planning| Design Methods,221, dfki.de,9,9,2019,2007
Homero V. Rios-Figueroa,Professor of Artificial Intelligence|   University of Veracruz None,Artificial Intelligence| Computer Vision| Algorithms| Mathematics,221, uv.mx,9,7,2019,1991
Ankit Kumar Srivastava,Saal Operating Systems LLC|  German Research Center for Artificial Intelligence (DFKI) Machine Translation None,Machine Translation| Digital Curation| Linked Data| Natural Language Processing| Machine Learning,222, saal.ai,9,8,2017,2007
Johan Loeckx,Artificial Intelligence Lab ( Vrije Universiteit Brussel ),Artificial Intelligence| Education| Music| Modelling| Electromagnetic Compatibility,223, ai.vub.ac.be - ,6,4,2019,2006
Babak Majidi,Assistant Professor|  Robotics and Artificial Intelligence Laboratory|  Khatam University Machine Learning None,Machine Learning| Computer Vision| Cyber Physical Systems| Big Data Analytics,224, alumni.ut.ac.ir,10,11,2020,2003
Mohammad Mehdi Moniri,Researcher|    German Research Center for Artificial Intelligence None,HCI,226, dfki.de,7,5,2019,2006
Hoang-Sy Nguyen,Faculty of Information Technology|  Robotics and Artificial Intelligence Wireless Communication None,Wireless Communication| Network Security| Artificial Intelligence,227, bdu.edu.vn,8,5,2020,2015
Nicolas Loizou,Mila - Quebec Artificial Intelligence Institute Homepage None,Large Scale Optimization| Randomized Algorithms| Machine Learning| Numerical Linear Algebra| Game Theory,230, mila.quebec - ,7,7,2020,2015
Zhenyu Guo,Director of Artificial Intelligence|  Postmates Homepage None,Computer Vision| Artificial Intelligence| Deep Learning| Reinforcement Learning,230, ece.ubc.ca - ,6,6,2017,2013
Felix Kosmalla, (DFKI)|  Saarland Informatics Campus German Research Center for Artificial Intelligence None,HCI| Wearables| Interactive Assistive Systems in Sports,231, dfki.de,7,6,2020,2013
Jia Zhang,Ph.D. Student|  Artificial Intelligence Department|   Xiamen University None,Machine Learning| Data Mining| Artificial Intelligence,235, stu.xmu.edu.cn - ,8,7,2020,2015
George Baryannis,Senior Lecturer in Artificial Intelligence|   University of Huddersfield None,Artificial Intelligence| Knowledge Representation| Service-Oriented Computing,235, hud.ac.uk - ,8,6,2020,2006
Masatomo Hashimoto,Software Technology and Artificial Intelligence Research Lab|  Chiba Institute of Technology Homepage None,software analytics| programming language| machine learning,236, p.chibakoudai.jp - ,7,3,2018,1998
Xu Tang,School of Artificial Intelligence|  Xidian Univeristy Homepage None,Image Processing| Remote Sensing| Machine Learning,236, xidian.edu.cn - ,9,9,2019,2009
Charlotte S. Vlek,PhD student Artificial Intelligence|   University of Groningen None,Evidential Reasoning| Bayesian networks| Narrative,238, rug.nl,8,6,2016,2006
Gianvito Grasso,Dalle Molle Institute for Artificial Intelligence ( IDSIA ),Structural Biology| Molecular Dynamics| Protein Folding| Protein Aggregation| Computational Biology,239, idsia.ch,10,10,2020,2012
Pedro Zuccarello,Senior Artificial Intelligence Researcher - Visualfy Artificial intelligence None,Artificial intelligence| machine learning| deep learning| audio processing,243, visualfy.com,7,7,2020,2003
Dr. Daniel Fraunholz, dfki.de German Research Center for Artificial Intelligence None,,245, dfki.de,10,12,2019,2017
Abdulrahman Kaitoua,Researcher at  German Research Center for Artificial Intelligence  (DFKI),Big Data Processing| BioInformatics| Data Mining| Data Base Management Systems.,246, dfki.de,7,7,2020,2013
Patrick GLAUNER,Professor of Artificial Intelligence|  Deggendorf Institute of Technology Homepage None,Machine Learning| Artificial Intelligence,247, glauner.info - ,9,7,2020,2012
Stefan Stiene,Senior Researcher|    German Research Center for Artificial Intelligence GmbH None,,248, dfki.de - ,9,9,2017,2006
Lizhong Ding (丁立中),Inception Institute of Artificial Intelligence (IIAI)|  Abu Dhabi|  UAE Machine Learning None,Machine Learning| Kernel Methods| Deep Learning| Model Selection,249, inceptioniai.org,9,9,2020,2009
Chaw Seng Woo,Senior Lecturer|  Department of Artificial Intelligence|  Faculty of Computer Science & Information Technology Building|  Universit Artificial Neural Network  Biomedical Image Segmentation  Wavelet Transform Applications  Data Hiding And Steganography (Multime None,Artificial Neural Network  Biomedical Image Segmentation  Wavelet Transform Applications  Data Hiding And Steganography (Multime,249,No verified email,7,7,2016,2005
Michele Pace,Post Doc Researcher IRIDIA - Artificial Intelligence research laboratory of the  Université Libre de Bruxelles None,Swarm Intelligence| Probability models| Mathematics| Multi Agent systems| Algorithmic trading,249, iridia.ulb.ac.be - ,8,8,2013,2007
Reinhard Hirsch,Head of Advanced Data Analytics and Artificial Intelligence Group of Synpulse Predictive Analytics None,Predictive Analytics| Artificial Intelligence| Computer Simulation| Financial Risk Management| Optimization and Automation,253, synpulse.com,6,4,2013,1985
Fernando Martínez-Plumed,VRAIN|  Valencian Research Institute for Artificial Intelligence|   Universitat Politècnica de València None,Artificial Intelligence| Machine Learning| Data Science| Inductive Programming| IRT,253, dsic.upv.es - ,7,6,2020,2009
Florian Wahl,Researcher|  Applied Artificial Intelligence|  Deggendorf Institute of Technology Pattern recognition None,Pattern recognition| Measuring the circadian rhythm| Daily activity recognition| Embedded Systems| Pervasive Sensing,254, th-deg.de,8,7,2020,2012
Eelco den Heijer,PhD Artificial Intelligence|  Vrije Universiteit Amsterdam Artificial Intelligence None,Artificial Intelligence| Evolutionary Art| Generative Art| Genetic Programming| Evolutionary Computation,254, objectivation.nl,8,8,2015,1996
Patrick Helber,Researcher @ NVIDIA AI Lab|  German Research Center for Artificial Intelligence & Vision Impulse Artificial Intelligence None,Artificial Intelligence| Machine Learning| Deep Learning| Computer Vision| Remote Sensing,257, dfki.de,6,5,2019,2017
Jojo John Moolayil,Artificial Intelligence|  Decision Science & Internet of Things author and practitioner Homepage None,Artificial Intellgence| Internet of Things,257, jojomoolayil.com - ,8,7,2019,2015
Asit Saha,Consultant Scientist|  Ingeniation - Artificial Intelligence|  Perth|  Australia Artificial General Intelligence None,Artificial General Intelligence| Mathematical Biology| Biomedical Engineering| System Biology| Applied Mathematics,257, ingeniation.com,8,5,2018,1971
Àngel García-Cerdaña,Researcher at the Artificial Intelligence Research Institute (IIIA- CSIC )|  Bellaterra|  Catalonia,Mathematical Logic| Philosophical Logic| Fuzzy Logic| Artificial Intelligence,261, iiia.csic.es,8,8,2019,2003
Yi Zhou,Research Scientist|  Inception Institute of Artificial Intelligence Computer Vision None,Computer Vision| Deep Learning| Video Surveillance| Medical Imaging,263, inceptioniai.org,8,8,2020,2016
Andras Kupcsik,Bosch Center for Artificial Intelligence Machine Learning None,Machine Learning| Robotics,264, de.bosch.com,7,6,2019,2013
Arief Barkah Koesdwiady,Senior Artificial Intelligence Specialist|   General Motors  Canada,Artificial Intelligence,264, gm.com - ,6,5,2018,2012
Dirk Groeneveld,Allen Institute for Artificial Intelligence natural language processing None,natural language processing| neural networks| deep learning,265, allenai.org,7,7,2020,2004
Pietro Codara,Artificial Intelligence Research Institute (IIIA-CSIC) Homepage None,Combinatorics| ordered structures| many-valued logic| categorical dualities| uncertainty,266, di.unimi.it - ,9,9,2018,2004
Sergey Feldman,Allen Institute of Artificial Intelligence|  Data Cowboys Homepage None,Machine Learning| Estimation| Pattern Recognition,268, data-cowboys.com - ,9,8,2020,2009
Ruihao Li,Artificial Intelligence Research Center|  National Innovation Institute of Defense Technology Robotics None,Robotics,271, essex.ac.uk,6,3,2020,2013
Krzysztof Dyczkowski,Associate Professor|  Phd|  D.Sc.|  Department of Artificial Intelligence|   Adam Mickiewicz University None,fuzzy sets| intelligent systems| soft computing| ovarion tumor diagnosis| cardinality of fuzzy set,272, amu.edu.pl - ,11,14,2019,2001
Dr. Monica  Mundada,Off-Shore Head for Artificial Intelligence and Machine learning Homepage None,Machine Learning and Natural language processing,276, vsoftconsulting.com - ,11,15,2018,2013
Alejandro Rodriguez-Ascaso,Department of Artificial Intelligence|   Universidad Nacional de Educación a Distancia  (UNED),accessibility| human factors| elearning| telecare| artificial intelligence,282, dia.uned.es,10,11,2018,2001
Jing LI,Research Scientist|  Inception Institute of Artificial Intelligence (IIAI) Homepage None,Information Retrieval| Natural Language Processing| Software Engineering| Compressed Sensing,290, e.ntu.edu.sg - ,11,11,2020,2011
Kernasiuk Yu.|  Kernasyuk Yu.|  Kernasiuk Ju. V.|   Кернасюк|  Ю. В.|  ORCID 0000-0001-8957-3769,КГСХОС|  КДСГДС|  ИСХС|  ІСГС НААН|  Artificial Intelligence Sustainable Development None,Sustainable Development| Forecast & System Analysis| Low-Carbon Economy & Climate Change,286, kw.ukrtel.net,9,8,2020,2004
Chihung Lin,Associate Research Fellow|  Center for Artificial intelligence in Medicine|   Chang Gung Memorial Hospital None,Artificial intelligence in Medicine,292, cgmh.org.tw,5,3,2020,2011
Rajesh Verma,M.Tech (Artificial Intelligence) Mobile Cloud Computing None,Mobile Cloud Computing| Artificial Intelligence,292,No verified email,8,7,2020,1957
chitra dadkhah,Assistant Professor of Artificial Intelligence|   K.N.Toosi university of Technology None,Evolutionary  Algorithms| Swarm Intelligence| Natural Language Processing| Recommender Systems| Robotic(simulation),294, kntu.ac.ir - ,7,6,2020,2003
Peter Walker,Joint Artificial Intelligence Center Imaging None,Imaging| Bioinformatics,294, mail.mil,9,9,2019,2004
Hossein Karshenas,Assistant Professor|  Artificial Intelligence Department  University of Isfahan None,Estimation of Distribution Algorithms| Multi-Objective Optimization| Probabilistic Graphical Models| Computational Intelligence,294, eng.ui.ac.ir,6,5,2020,2008
Ziya Wang,Shenzhen Institute of Artificial Intelligence and Robotics for Society (AIRS) None None,,297, cuhk.edu.cn,8,8,2020,2014
Sunil Kumar Sahu,Inception Institute of Artificial Intelligence (IIAI) Abu Dhabi Homepage None,Natural Language Processing,298, manchester.ac.uk - ,7,7,2020,2015
Ernst Kloppenburg,Bosch Center for Artificial Intelligence Machine Learning None,Machine Learning| Automatic Control| Probabilistic Reasoning,301, de.bosch.com,6,5,2019,1998
Ionut Cosmin Duta,Inception Institute of Artificial Intelligence (IIAI)|  Abu Dhabi|  UAE Homepage None,Computer Vision| Deep Learning| Machine Learning| Multimedia,301, disi.unitn.it - ,8,7,2020,2014
Ricardo Omar Chavez-Garcia,Researcher|  IDSIA Istituto Dalle Molle for Artificial Intelligence - USI-SUPSI - Lugano|  Switzerland Homepage None,perception| robotics| machine learning,301, idsia.ch - ,6,5,2020,2002
Christoph Igel, dfki.de German Research Center for Artificial Intelligence DFKI None,Educational Technology| Future Work| Emerging Technologies,302, dfki.de,8,7,2019,1998
Nijat Mehdiyev, dfki.de German Research Center for Artificial Intelligence None,,302, dfki.de,9,9,2020,2011
irimia elena,Scientific Researcher|  Research Institute for Artificial Intelligence|  Romanian Academy Artificial Intelligence None,Artificial Intelligence,307, racai.ro,10,10,2019,1994
Dr. Syed Waqar Jaffry,Assistant Professor of Artificial Intelligence|  University of The Punjab Homepage None,Artificial Intelligence| Multi-Agent System| Trust and Reputation Management| Modeling and Simulation,308, pucit.edu.pk - ,10,10,2020,2005
Emmanuelle Gutiérrez y Restrepo,Artificial Intelligence Department of Distance Learning University of Spain (UNED Homepage None,Accessibility| usability| e-learning standards| Artificial Intelligence,309, sidar.org - ,10,11,2020,1983
Federico Raue,Research|   German Research Centre for Artificial Intelligence None,LSTM networks| Sequence Classification,310, dfki.de,3,2,2020,2007
Johannes Brandstetter,Institute for Machine Learning|   Johannes Kepler University Linz |  Austria,Machine Learning| High Energy Physics,31880, ml.jku.at,98,390,2020,1994
Matthias Feurer,Machine Learning group|   University of Freiburg None,Hyperparameter optimization| Meta-learning| Bayesian optimization| OpenML| AutoML,1430, informatik.uni-freiburg.de - ,10,11,2019,2013
Ahmed Hosny,Machine Learning @ Dana Farber Cancer Institute Homepage None,Machine Learning| Deep Learning| Data Visualization| Data Science,1128, dfci.harvard.edu - ,10,10,2020,2014
Survi Kyal,Machine Learning Scientist at Affectiva Signal processing/Machine Learning/Computer Vision/Remote health care monitoring None,Signal processing/Machine Learning/Computer Vision/Remote health care monitoring,866, bose.com,11,12,2018,2012
Sven Van Segbroeck,Machine Learning Group|  Université Libre de Bruxelles None None,,700,No verified email,10,11,2017,2004
Janis Keuper (Fehr),Institute for Machine Learning and Analytics (IMLA) Homepage None,Machine Learning| HPC| Data Science,628, hs-offenburg.de - ,14,17,2020,2000
Ulli Waltinger,Head of Research Group Machine Intelligence|  Siemens Corporate Technology|  Munich Homepage None,Artificial Intelligence| Computer Science| Semantic Web| Data Mining| Knowledge Discovery,545, siemens.com - ,13,20,2020,2002
Kuntal Ghosh,Machine Intelligence Unit|   Indian Statistical Institute None,Cognitive Science-Cybernetics,475, isical.ac.in,12,15,2020,1991
Nate Soares,Machine Intelligence Research Institute Homepage None,Artificial Intelligence,383, intelligence.org - ,11,12,2017,2014
Samet Akcay,Deep Learning Researcher at COSMONiO | PhD Student - Department of Computer Science|   Durham None,Computer Vision| Machine Learning,330, durham.ac.uk - ,6,6,2020,2016
Abozar Nasirahmadi,Head of Machine Learning and Smart Systems in Agriculture|   University of Kassel None,Artificial intelligence| Machine vision| Precision livestock farming| Precision agriculture,291, uni-kassel.de - ,10,10,2020,2011
Sarfaraz Hussein,Visual AI|  Machine Learning|  Deep Learning Homepage None,Machine Learning| Medical Imaging| Computer Vision| Deep Learning,263, knights.ucf.edu - ,7,7,2020,2015
Jean-François Connolly,Data Scientist|  Machine Learning Machine learning and optimization None,Machine learning and optimization,232, livia.etsmtl.ca,8,6,2013,2008
Ioakeim Perros,Lead Machine Learning Scientist|  HEALTH[at]SCALE Homepage None,Machine Learning for Healthcare| Tensor Factorization,207, gatech.edu - ,8,8,2020,2014
José Ricardo Valdés Martiní,Machine Learning Engineer at SteelBridge Consulting Homepage None,Computer Science| Machine Learning| Evolutionary Computation| Cheminformatics,195, SteelBridgeConsulting.com - ,8,8,2020,2010
Austin Waters,PhD in Machine Learning|  University of Texas at Austin (now at  Google ),Machine Learning| Language Modeling| Sequence-to-Sequence Models,196, google.com - ,5,5,2020,2010
Don M. Dini,Applied Machine Learning @ Lyft Homepage None,Computer Science| Machine Learning| Reinforcement Learning,197, dmdini.com - ,4,3,2020,2005
Javier Turek,Research Scientist in Machine Learning at Intel Labs Homepage None,Machine Learning| Recurrent Neural Networks| Unsupervised Learning,197, intel.com - ,9,9,2020,2007
Alice Coucke,Head of machine learning research at Sonos|  Inc. Homepage None,statistical physics| machine learning| spoken language understanding| keyword spotting| natural language processing,199, sonos.com - ,7,6,2020,2016
Benjamin H. Groh,Machine Learning and Data Analytics Lab|   Friedrich-Alexander-Universität Erlangen-Nürnberg None,Machine Learning| Wearable Computing| Sports Analytics| Data Fusion| Localization,200, fau.de - ,9,7,2019,2014
Pooya Davoodi,|  Machine Learning Engineer Apple None,Machine learning backend| GPU acceleration| Memory-efficient data structures| Range query data structures,200, apple.com - ,8,7,2017,2007
Vivien Seguy,PhD in Machine Learning|   Kyoto University None,Machine Learning| Optimal Transport,201, iip.ist.i.kyoto-u.ac.jp - ,6,5,2020,2015
Ming Yang,Research Scientist|  Machine Learning at Facebook signal processing None,signal processing| computer architecture| machine learning,203, asu.edu,9,9,2017,2008
Karthik Gurumoorthy,Machine Learning Scientist|  Amazon Development Center Signal Processing None,Signal Processing| Machine Learning| Optimization| Sparse representation| Kalman Filtering,206, amazon.com,8,6,2019,2008
Caroline Pacheco do E.Silva,Ph.D. on Computer Vision and Machine Learning Homepage None,Computer Vision| Machine Learning and Pattern Recognition and,207, univ-lr.fr - ,6,4,2018,2010
Rushdi Shams,Sr. Machine Learning Engineer natural language processing None,natural language processing| deep learning| machine learning| information retrieval| information extraction,208, oneclass.com,8,7,2016,2007
Max Pagels,Machine Learning Partner|  Fourkind Homepage None,Software Engineering| Software Measurement| Machine Learning,209, fourkind.com - ,6,5,2016,2013
Bastian Rieck,Machine Learning & Computational Biology Lab|  D-BSSE|   ETH Zürich None,Machine learning| Computational topology| Topological data analysis| Visualization| Computational biology,209, bsse.ethz.ch - ,9,9,2020,2010
Pengfei Dou,Senior Machine Learning Engineer @  Apple Inc .,Machine Learning| Deep learning| Computer vision,210, apple.com,7,5,2019,2014
Simin Ahmadi Karvigh,PhD ( University of Southern California )|  Machine Learning @ Apple,Machine Learning| Artificial intelligence| Automation| Smart Buildings| Building Energy Efficiency,211, usc.edu,6,6,2019,2014
Matthias Seibert,Doctoral Candidate at the Professorship for Geometric Optimization and Machine Learning at  TUM None,Machine Learning| Sparse Coding,214, tum.de,5,3,2019,2013
David Lanyi,Machine Learning Methods|  Continental ADAS AI artificial intelligence None,artificial intelligence| machine learning| deep learning,217, continental.com,5,5,2019,2013
Rishi Bedi,Machine Learning for Therapeutics Discovery Homepage None,machine learning| drug discovery| immunology,217, cs.stanford.edu - ,6,5,2019,2009
Michael Hofmann,Machine Learning R&D|  TomTom machine learning None,machine learning| computer vision,217, tomtom.com,5,4,2019,2009
mehmet umut caglar,Lead Data Scientist & Machine Learning Engineer @ State Street Corp. Data Science & Machine Learning None,Data Science & Machine Learning,217, statestreet.com,5,4,2019,2010
Sina Zarrieß,Professor for Digital Humanities|  Machine Learning and Language Technology|   University of Jena None,Computational linguistics| machine learning| language generation| dialogue computational semantics,219, uni-jena.de - ,8,5,2020,2006
Weiran Xu,Associate professor of natural language processing|  Beijing University of Posts and Telecommunications Homepage None,natural language processing,797,No verified email - ,14,20,2020,2002
Bryan Eikema,PhD Student Natural Language Processing|   University of Amsterdam None,Natural Language Processing| Machine Translation| Deep Generative Models,4, uva.nl - ,1,0,2018,2018
Nattapong Sanchan,Research Student in Natural Language Processing Group|  University of Sheffield Homepage None,Text Summarization| Sentence Selection| Information Extraction| Text Mining,6, bu.ac.th - ,2,0,2018,2016
khaled omar,Teacher in Damascus University| College of Informatics Engineering | Artificial intelligence and Natural Language Processing department Artificial intelligence None,Artificial intelligence| Natural Language Processing| Bioinformatics,9, damascusuniversity.edu.sy,1,0,2017,2008
Mohamed El HANNACH,International Agency for Natural Language Processing (IA4NLP) Homepage None,Linguistics Engineering,13, ia4nlp.com - ,2,0,1992,1988
Kilian Theil,PhD Student in Natural Language Processing|   University of Mannheim None,Behavioral Finance| Natural Language Processing,15, informatik.uni-mannheim.de - ,3,0,2020,2017
Ali Salhi,Researcher in Natural Language Processing in Birzeit University Homepage None,Natural Language Processing| Arabic Technologies| Cloud Computing,20, salhi.info - ,3,0,2017,2008
Martin Schmitt,PhD candidate in natural language processing|  CIS /  LMU Munich None,Natural Language Processing| Machine Learning| Neural Networks and Embeddings| Lexical Semantics| Knowledge Graphs,29, lmu.de - ,3,1,2019,2018
Anh-Dung Vo,Ph.D. candidate. Research in Natural Language Processing (NLP) at  University of Ulsan None,Natural Language Processing| Sentiment Ananlysis| Text Mining,41, mail.ulsan.ac.kr,4,1,2020,2012
Wasifa Chowdhury,Researcher in natural language processing and machine learning Natural language processing None,Natural language processing| Machine learning| Artificial intelligence,47, sfu.ca,1,1,2019,2014
Diego Frassinelli,Institute for Natural Language Processing (IMS)|   University of Stuttgart None,Psycholinguistics| distributional semantics| multimodality| concreteness,52, ims.uni-stuttgart.de - ,5,0,2020,2010
Xiang Yu,Institute for Natural Language Processing|   University of Stuttgart None,Dependency Parsing| Neural Networks,54, ims.uni-stuttgart.de - ,4,3,2019,2017
Fabrizio Ghigi,Natural Language Processing Engineer Homepage None,Natural Language Processing,54, andrew.cmu.edu - ,4,2,2015,2005
Wesam Al-nabki,Ph.D. | Natural Language Processing | Machine Learning | Deep Learning | Information Extraction Homepage None,Ph.D. | Natural Language Processing | Machine Learning | Deep Learning | Information Extraction,76, unileon.es - ,3,2,2020,2017
Zuzana Nevěřilová,Natural Language Processing Centre|   Masaryk University None,natural language processing| natural language generation| semantics,100, fi.muni.cz,4,2,2019,2005
Nouha Chaâben kammoun,Arabic Natural Language Processing Research Group|  MIRACL laboratory|  FSEGS|  University of Sfax Arabic Natural Language Processing None,Arabic Natural Language Processing,103, escs.u-sfax.tn,4,3,2013,2004
Cohan Sujay Carlos,Researcher|  Natural Language Processing|  Aiaioo Labs Natural Language Processing None,Natural Language Processing| Machine Learning| Computational Linguistics| Artificial Intelligence,138, aiaioo.com,6,5,2016,2002
John Blackmore,Natural Language Processing Ph.D. student|   Rutgers University None,Natural Language Processing| Computational Linguistics| Artificial Intelligence| Automated Scoring,156, rutgers.edu,3,3,2014,2009
William P. Li,Siri Natural Language Understanding|   Apple None,natural language understanding| data science| machine learning| assistive technology| natural language processing,160, apple.com - ,7,5,2015,2007
Katrin Schweitzer,Institute for Natural Language Processing Homepage None,,179, ims.uni-stuttgart.de - ,7,6,2018,2001
Gabriella Lapesa,University of Stuttgart|  Institute for Natural Language Processing Homepage None,Computational Linguistics| Cognitive Modeling| Lexical Semantics,215, uni-osnabrueck.de - ,6,6,2019,2006
Patrick Watrin,Centre for Natural Language Processing (Cental)|   UCL |  BE,NLP,227, uclouvain.be,9,8,2019,2003
Dorian Kodelja,PhD in Natural language processing |  CEA nano innov intelligence artificielle None,intelligence artificielle| DNN| Traitement automatique du langage| AI| NLP,255, cea.fr,2,1,2019,2017
Michael Walsh,Institute for Natural Language Processing|   University of Stuttgart None,Language Acquisition| Natural Language Processing| Cognitive Science| Phonetics,310, ims.uni-stuttgart.de - ,10,10,2019,2000
Lingjia Deng,Natural Language Processing Researcher in  Bloomberg None,Natural Language Processing| Subjectivity and Sentiment Analysis,318, bloomberg.net - ,7,7,2018,2013
江原 暉将 Terumasa Ehara,江原自然言語処理研究室 Ehara natural language processing laboratory Homepage None,自然言語処理 natural language processing,519,No verified email - ,12,14,2018,1979
Klemens Schnattinger,Professor of Data Science and Natural Language Processing Homepage None,Machine Learning| Natural Language Processing| Data Science| Knowledge Representation,567, dhbw-loerrach.de - ,11,12,2020,1995
Emad M. Al-Shawakfa,Associate Professor of Natural Language Processing|   Yarmouk University None,Natural Language Processing| Data Mining| Computer Networks| Cloud Computing and Big Data Analytics,648, yu.edu.jo - ,11,12,2018,1999
Zhongjun HE,Researcher of Natural Language Processing|   Baidu None,machine translation| natural language processing,810, baidu.com,13,19,2020,2006
Oscar Ferrandez,Senior Natural Language Processing Research Engineer|   Nuance Communications|  Inc .,Natural Language Processing| Clinical Language Understanding,898, nuance.com,15,22,2014,2005
Zeljko Agic,Head of Applied Science at Corti; PhD in Natural Language Processing Homepage None,Natural language processing| Machine learning,998, corti.ai - ,17,29,2020,2005
Lamia Hadrich Belguith,Arabic Natural Language Processing Research Group|  MIRACL laboratory|   FSEGS |  University of Sfax,Arabic Natural Language Processing| Automatic summarization| Question-Answering| Automatic translation| Arabic speech processing,1377, fsegs.rnu.tn - ,19,45,2020,1997
